Ionization Mode,Ion Index,m/z,"Annotations (Compound Name, Modification, Sum-Formula, KEGG Code, HMDB Code)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,83,103.105,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,84,103.126,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,85,103.166,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,86,103.245,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,87,104.042,Diacetyl [+1]+OH(-) C4H6O2 C00741 HMDB03407,4-Hydroxybutanoic acid [+1]-H(+) C4H8O3 C00989 HMDB00710,(R)-3-Hydroxybutanoate [+1]-H(+) C4H8O3 C01089 HMDB00011,2-Hydroxybutanoic acid [+1]-H(+) C4H8O3 C05984 HMDB00008,(S)-3-Hydroxyisobutyrate [+1]-H(+) C4H8O3 C06001 n.a.,Cyclopropanecarboxylate [+1]+OH(-) C4H6O2 C16267 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,88,105.019,Pyruvate +OH(-) C3H4O3 C00022 HMDB00243,3-Oxopropanoate +OH(-) C3H4O3 C00222 HMDB11111,D-Glycerate -H(+) C3H6O4 C00258 HMDB00139,meso-Tartaric acid -CO2-H(+) C4H6O6 C00552 n.a.,"(R,R)-Tartaric acid -CO2-H(+) C4H6O6 C00898 HMDB00956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,89,105.043,4-Hydroxybutanoic acid [+2]-H(+) C4H8O3 C00989 HMDB00710,(R)-3-Hydroxybutanoate [+2]-H(+) C4H8O3 C01089 HMDB00011,2-Hydroxybutanoic acid [+2]-H(+) C4H8O3 C05984 HMDB00008,(S)-3-Hydroxyisobutyrate [+2]-H(+) C4H8O3 C06001 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,90,106.042,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,91,107.035,Glycerone +OH(-) C3H6O3 C00184 HMDB01882,(S)-Lactate +OH(-) C3H6O3 C00186 HMDB00190,(R)-Lactate +OH(-) C3H6O3 C00256 HMDB01311,Xanthine -CO2-H(+) C5H4N4O2 C00385 HMDB00292,D-Glyceraldehyde +OH(-) C3H6O3 C00577 n.a.,3-Hydroxypropanoate +OH(-) C3H6O3 C01013 HMDB00700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,92,107.048,Benzyl alcohol -H(+) C7H8O C00556 HMDB03119,3-Cresol -H(+) C7H8O C01467 HMDB02048,4-Cresol -H(+) C7H8O C01468 HMDB01858,o-Cresol -H(+) C7H8O C01542 HMDB02055,Toluene-cis-dihydrodiol -H2O-H(+) C7H10O2 C04592 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,93,108.020,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,94,108.044,"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate -H2O-H(+) C6H9NO2 C00450 n.a.",2-Aminophenol -H(+) C6H7NO C01987 n.a.,4-Hydroxyaniline -H(+) C6H7NO C02372 HMDB01169,Hydroxylaminobenzene -H(+) C6H7NO C02720 n.a.,2-Methylpropanal oxime .H/Na-H(+) C4H9NO C03219 n.a.,delta1-Piperideine-2-carboxylate -H2O-H(+) C6H9NO2 C04092 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,95,108.990,Pyruvate .H/Na-H(+) C3H4O3 C00022 HMDB00243,3-Oxopropanoate .H/Na-H(+) C3H4O3 C00222 HMDB11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,96,109.028,Catechol -H(+) C6H6O2 C00090 HMDB00957,"2,3-Dihydroxybenzoate -CO2-H(+) C7H6O4 C00196 HMDB00397","3,4-Dihydroxybenzoate -CO2-H(+) C7H6O4 C00230 HMDB01856",Butanoic acid .H/Na-H(+) C4H8O2 C00246 HMDB00039,"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate -NH3-H(+) C6H9NO2 C00450 n.a.",p-Benzenediol -H(+) C6H6O2 C00530 HMDB02434,"2,5-Dihydroxybenzoate -CO2-H(+) C7H6O4 C00628 HMDB00152",(R)-Acetoin .H/Na-H(+) C4H8O2 C00810 n.a.,Resorcinol -H(+) C6H6O2 C01751 n.a.,(S)-Acetoin .H/Na-H(+) C4H8O2 C01769 n.a.,delta1-Piperideine-2-carboxylate -NH3-H(+) C6H9NO2 C04092 n.a.,Dihydrophloroglucinol -H2O-H(+) C6H8O3 C06719 n.a.,"2-Hydroxy-cis-hex-2,4-dienoate -H2O-H(+) C6H8O3 C11354 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,97,109.065,Toluene +OH(-) C7H8 C01455 n.a.,Cyclohexane-1-carboxylate -H2O-H(+) C7H12O2 C09822 n.a.,3-Isopropylbut-3-enoic acid -H2O-H(+) C7H12O2 C11950 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,98,110.034,Catechol [+1]-H(+) C6H6O2 C00090 HMDB00957,Cytosine -H(+) C4H5N3O C00380 HMDB00630,p-Benzenediol [+1]-H(+) C6H6O2 C00530 HMDB02434,Resorcinol [+1]-H(+) C6H6O2 C01751 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,99,110.068,1H-Imidazole-4-ethanamine -H(+) C5H9N3 C00388 HMDB00870,Toluene [+1]+OH(-) C7H8 C01455 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,100,110.975,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,101,111.019,Uracil -H(+) C4H4N2O2 C00106 HMDB00300,Orotate -CO2-H(+) C5H4N2O4 C00295 HMDB00226,1-Butanol .H/K-H(+) C4H10O C06142 HMDB04327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,102,111.041,Phenol +OH(-) C6H6O C00146 HMDB00228,"(R,R)-Butane-2,3-diol .H/Na-H(+) C4H10O2 C03044 n.a.","(S,S)-Butane-2,3-diol .H/Na-H(+) C4H10O2 C03046 n.a.","cis-1,2-Dihydrobenzene-1,2-diol -H(+) C6H8O2 C04091 n.a.","Cyclohexane-1,2-dione -H(+) C6H8O2 C06105 n.a.","1,4-Cyclohexanedione -H(+) C6H8O2 C08063 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,103,111.077,1H-Imidazole-4-ethanamine [+1]-H(+) C5H9N3 C00388 HMDB00870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,104,111.088,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,105,111.110,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,106,111.151,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,107,111.180,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,108,111.214,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,109,111.239,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,110,111.946,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,111,112.021,Uracil [+1]-H(+) C4H4N2O2 C00106 HMDB00300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,112,112.039,Cytosine [+2]-H(+) C4H5N3O C00380 HMDB00630,5-Aminolevulinate -H2O-H(+) C5H9NO3 C00430 HMDB01149,N-Acetyl-beta-alanine -H2O-H(+) C5H9NO3 C01073 n.a.,5-Amino-2-oxopentanoic acid -H2O-H(+) C5H9NO3 C01110 HMDB06272,trans-4-Hydroxy-L-proline -H2O-H(+) C5H9NO3 C01157 HMDB00725,L-Glutamate 5-semialdehyde -H2O-H(+) C5H9NO3 C01165 HMDB02104,2-Aminomuconate -CO2-H(+) C6H7NO4 C02220 HMDB01241,cis-4-Hydroxy-D-proline -H2O-H(+) C5H9NO3 C03440 n.a.,1-Pyrroline-2-carboxylate -H(+) C5H7NO2 C03564 HMDB06875,(S)-4-Amino-5-oxopentanoate -H2O-H(+) C5H9NO3 C03741 n.a.,(S)-1-Pyrroline-5-carboxylate -H(+) C5H7NO2 C03912 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,113,112.044,"cis-1,2-Dihydrobenzene-1,2-diol [+1]-H(+) C6H8O2 C04091 n.a.","Cyclohexane-1,2-dione [+1]-H(+) C6H8O2 C06105 n.a.","1,4-Cyclohexanedione [+1]-H(+) C6H8O2 C08063 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,114,112.936,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,115,112.984,Acetylenedicarboxylate -H(+) C4H2O4 C03248 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,116,112.999,"Propane-1,2-diol .H/K-H(+) C3H8O2 C00583 HMDB01881","Propane-1,3-diol .H/K-H(+) C3H8O2 C02457 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,117,113.026,Uracil [+2]-H(+) C4H4N2O2 C00106 HMDB00300,"2-Hydroxy-2,4-pentadienoate -H(+) C5H6O3 C00596 n.a.",Protoanemonin +OH(-) C5H4O2 C07090 n.a.,cis-Acetylacrylate -H(+) C5H6O3 C07091 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,118,113.059,L-Leucine -NH3-H(+) C6H13NO2 C00123 HMDB00687,L-Isoleucine -NH3-H(+) C6H13NO2 C00407 HMDB00172,2-Hydroxycyclohexan-1-one -H(+) C6H10O2 C01147 n.a.,epsilon-Caprolactone -H(+) C6H10O2 C01880 n.a.,6-Aminohexanoate -NH3-H(+) C6H13NO2 C02378 HMDB01901,(3R)-beta-Leucine -NH3-H(+) C6H13NO2 C02486 HMDB03640,6-Hydroxyhexanoic acid -H2O-H(+) C6H12O3 C06103 HMDB12843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,119,113.065,2-Hydroxycyclohexan-1-one -H(+) C6H10O2 C01147 n.a.,epsilon-Caprolactone -H(+) C6H10O2 C01880 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,120,113.091,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,121,113.161,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,122,113.993,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,123,114.019,L-Aspartate -H2O-H(+) C4H7NO4 C00049 HMDB00191,D-Aspartate -H2O-H(+) C4H7NO4 C00402 HMDB06483,Maleamate -H(+) C4H5NO3 C01596 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,124,114.055,L-Proline -H(+) C5H9NO2 C00148 HMDB00162,D-Proline -H(+) C5H9NO2 C00763 HMDB03411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,125,114.084,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,126,114.965,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,127,114.981,Orthophosphate +OH(-) H3PO4 C00009 HMDB01429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,128,115.015,Phenol .H/Na-H(+) C6H6O C00146 HMDB00228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,129,115.038,3-Methyl-2-oxobutanoic acid -H(+) C5H8O3 C00141 HMDB00019,Deoxyribose -H2O-H(+) C5H10O4 C01801 HMDB03224,5-Oxopentanoate -H(+) C5H8O3 C03273 HMDB12233,"2,3-Dihydroxy-3-methylbutanoate -H2O-H(+) C5H10O4 C04039 n.a.","(R)-2,3-Dihydroxy-3-methylbutanoate -H2O-H(+) C5H10O4 C04272 HMDB12141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,130,115.073,Cyclohexanone +OH(-) C6H10O C00414 HMDB03315,"trans-1,2-Cyclohexanediol -H(+) C6H12O2 C03739 n.a.","cis-1,2-Cyclohexanediol -H(+) C6H12O2 C12313 n.a.",3-Hexenal +OH(-) C6H10O C16310 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,131,115.148,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,132,116.019,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,133,116.035,Adenine -H2O-H(+) C5H5N5 C00147 HMDB00034,L-Aspartate 4-semialdehyde -H(+) C4H7NO3 C00441 HMDB12249,L-2-Amino-3-oxobutanoic acid -H(+) C4H7NO3 C03508 HMDB06454,4-Hydroxy-L-threonine -H2O-H(+) C4H9NO4 C06056 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,134,116.039,3-Methyl-2-oxobutanoic acid [+1]-H(+) C5H8O3 C00141 HMDB00019,5-Oxopentanoate [+1]-H(+) C5H8O3 C03273 HMDB12233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,135,116.049,Indole -H(+) C8H7N C00463 HMDB00738,Phenylacetonitrile -H(+) C8H7N C16074 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,136,116.071,L-Valine -H(+) C5H11NO2 C00183 HMDB00883,5-Aminopentanoate -H(+) C5H11NO2 C00431 HMDB03355,Betaine -H(+) C5H11NO2 C00719 HMDB00043,L-2-Aminoadipate -CO2-H(+) C6H11NO4 C00956 HMDB00510,N-Methyl-L-glutamate -CO2-H(+) C6H11NO4 C01046 n.a.,O-Acetyl-L-homoserine -CO2-H(+) C6H11NO4 C01077 n.a.,4-Methyl-L-glutamate -CO2-H(+) C6H11NO4 C06234 n.a.,4-Methylaminobutyrate -H(+) C5H11NO2 C15987 n.a.,"3-Amino-2,3-dideoxy-scyllo-inosose -CO2-H(+) C6H11NO4 C17581 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,137,116.100,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,138,116.926,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,139,116.958,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,140,117.018,Succinate -H(+) C4H6O4 C00042 HMDB00254,Adenine -NH3-H(+) C5H5N5 C00147 HMDB00034,Hypoxanthine -H2O-H(+) C5H4N4O C00262 HMDB00157,Threonate -H2O-H(+) C4H8O5 C01620 HMDB00943,Methylmalonate -H(+) C4H6O4 C02170 HMDB00202,4-Phospho-D-erythronate -H3PO4-H(+) C4H9O8P C03393 n.a.,4-Hydroxy-L-threonine -NH3-H(+) C4H9NO4 C06056 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,141,117.052,Indole [+1]-H(+) C8H7N C00463 HMDB00738,Guanidinoacetate [+1]-H(+) C3H7N3O2 C00581 HMDB00128,Phenylacetonitrile [+1]-H(+) C8H7N C16074 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,142,117.073,L-Valine [+1]-H(+) C5H11NO2 C00183 HMDB00883,5-Aminopentanoate [+1]-H(+) C5H11NO2 C00431 HMDB03355,Betaine [+1]-H(+) C5H11NO2 C00719 HMDB00043,4-Methylaminobutyrate [+1]-H(+) C5H11NO2 C15987 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,143,117.960,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,144,118.022,Succinate [+1]-H(+) C4H6O4 C00042 HMDB00254,Methylmalonate [+1]-H(+) C4H6O4 C02170 HMDB00202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,145,118.049,L-Threonine -H(+) C4H9NO3 C00188 HMDB00167,L-Homoserine -H(+) C4H9NO3 C00263 HMDB00719,1-Aminocyclopropane-1-carboxylate +OH(-) C4H7NO2 C01234 n.a.,L-Allothreonine -H(+) C4H9NO3 C05519 HMDB04041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,146,118.947,Orthophosphate .H/Na-H(+) H3PO4 C00009 HMDB01429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,147,119.004,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,148,119.034,2-Oxobutanoate +OH(-) C4H6O3 C00109 HMDB00005,Acetoacetate +OH(-) C4H6O3 C00164 HMDB00060,Succinate semialdehyde +OH(-) C4H6O3 C00232 HMDB01259,(S)-Methylmalonate semialdehyde +OH(-) C4H6O3 C06002 HMDB02217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,149,119.081,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,150,119.127,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,151,119.169,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,152,119.941,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,153,120.037,2-Oxobutanoate [+1]+OH(-) C4H6O3 C00109 HMDB00005,Acetoacetate [+1]+OH(-) C4H6O3 C00164 HMDB00060,Succinate semialdehyde [+1]+OH(-) C4H6O3 C00232 HMDB01259,(S)-Methylmalonate semialdehyde [+1]+OH(-) C4H6O3 C06002 HMDB02217,Biuret +OH(-) C2H5N3O2 C06555 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,154,120.065,4-Aminobutanoate +OH(-) C4H9NO2 C00334 HMDB00112,"N,N-Dimethylglycine +OH(-) C4H9NO2 C01026 HMDB00092",L-3-Amino-isobutanoate +OH(-) C4H9NO2 C03284 HMDB02166,3-Aminoisobutyric acid +OH(-) C4H9NO2 C05145 HMDB03911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,155,120.938,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,156,120.954,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,157,121.028,Benzoate -H(+) C7H6O2 C00180 HMDB01870,4-Hydroxybenzaldehyde -H(+) C7H6O2 C00633 HMDB11718,Phthalate -CO2-H(+) C8H6O4 C01606 HMDB02107,3-Hydroxybenzaldehyde -H(+) C7H6O2 C03067 n.a.,4-Hydroxyphenylglyoxylate -CO2-H(+) C8H6O4 C03590 n.a.,1-Methylpyrrolinium .H/K-H(+) C5H10N C06178 n.a.,Salicylaldehyde -H(+) C7H6O2 C06202 n.a.,Terephthalate -CO2-H(+) C8H6O4 C06337 HMDB02428,3-Formylsalicylic acid -CO2-H(+) C8H6O4 C14096 n.a.,4-Formylsalicylic acid -CO2-H(+) C8H6O4 C14100 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,158,121.064,Cyclohexanol .H/Na-H(+) C6H12O C00854 HMDB12971,3-(2-Hydroxyphenyl)propanoate -CO2-H(+) C9H10O3 C01198 n.a.,Tropate -CO2-H(+) C9H10O3 C01456 n.a.,3-Methoxy-4-hydroxyphenylacetaldehyde -CO2-H(+) C9H10O3 C05581 HMDB05175,Phenyllactate -CO2-H(+) C9H10O3 C05607 n.a.,Phenylethyl alcohol -H(+) C8H10O C05853 n.a.,"cis-1,2-Dihydro-3-ethylcatechol -H2O-H(+) C8H12O2 C06727 n.a.",4-Methylbenzyl alcohol -H(+) C8H10O C06757 n.a.,Styrene +OH(-) C8H8 C07083 n.a.,2-Methylbenzyl alcohol -H(+) C8H10O C07213 n.a.,3-Methylbenzyl alcohol -H(+) C8H10O C07216 n.a.,(S)-1-Phenylethanol -H(+) C8H10O C11348 n.a.,3-(3-Hydroxy-phenyl)-propanoic acid -CO2-H(+) C9H10O3 C11457 HMDB00375,Caffeyl alcohol -CO2-H(+) C9H10O3 C12206 n.a.,4-Ethylphenol -H(+) C8H10O C13637 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,159,121.166,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,160,122.025,Nicotinate -H(+) C6H5NO2 C00253 HMDB01488,Nitrobenzene -H(+) C6H5NO2 C06813 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,161,122.965,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,162,123.004,2-Oxobutanoate .H/Na-H(+) C4H6O3 C00109 HMDB00005,Acetoacetate .H/Na-H(+) C4H6O3 C00164 HMDB00060,Succinate semialdehyde .H/Na-H(+) C4H6O3 C00232 HMDB01259,2-Hydroxymuconate semialdehyde -H2O-H(+) C6H6O4 C00682 n.a.,"cis,cis-Muconate -H2O-H(+) C6H6O4 C02480 HMDB06331","2-Oxo-2,3-dihydrofuran-5-acetate -H2O-H(+) C6H6O4 C03586 n.a.",(S)-Methylmalonate semialdehyde .H/Na-H(+) C4H6O3 C06002 HMDB02217,"cis,cis-4-Hydroxymuconic semialdehyde -H2O-H(+) C6H6O4 C06603 n.a.","2-Hydroxy-1,4-benzoquinone -H(+) C6H4O3 C07103 n.a.","(S)-5-Oxo-2,5-dihydrofuran-2-acetate -H2O-H(+) C6H6O4 C14610 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,163,123.043,Benzaldehyde +OH(-) C7H6O C00261 HMDB06115,"2,3-Dihydroxytoluene -H(+) C7H8O2 C02923 n.a.",3-Hydroxybenzyl alcohol -H(+) C7H8O2 C03351 n.a.,4-Methylcatechol -H(+) C7H8O2 C06730 HMDB00873,3-Methylbutanoic acid .H/Na-H(+) C5H10O2 C08262 HMDB00718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,164,123.078,p-Xylene +OH(-) C8H10 C06756 n.a.,Ethylbenzene +OH(-) C8H10 C07111 n.a.,m-Xylene +OH(-) C8H10 C07208 n.a.,o-Xylene +OH(-) C8H10 C07212 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,165,123.103,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,166,123.968,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,167,124.038,4-Aminobutanoate .H/Na-H(+) C4H9NO2 C00334 HMDB00112,"N,N-Dimethylglycine .H/Na-H(+) C4H9NO2 C01026 HMDB00092",L-3-Amino-isobutanoate .H/Na-H(+) C4H9NO2 C03284 HMDB02166,3-Aminoisobutyric acid .H/Na-H(+) C4H9NO2 C05145 HMDB03911,Nitrosobenzene +OH(-) C6H5NO C06876 n.a.,"3,6-Dihydronicotinic acid -H(+) C6H7NO2 C16671 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,168,124.982,Hydroxypyruvate .H/Na-H(+) C3H4O4 C00168 HMDB01352,Malonate .H/Na-H(+) C3H4O4 C00383 HMDB00691,2-Hydroxy-3-oxopropanoate .H/Na-H(+) C3H4O4 C01146 HMDB06938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,169,125.024,p-Benzoquinone +OH(-) C6H4O2 C00472 HMDB03364,"1,2,3-Trihydroxybenzene -H(+) C6H6O3 C01108 n.a.",Phloroglucinol -H(+) C6H6O3 C02183 n.a.,"Benzene-1,2,4-triol -H(+) C6H6O3 C02814 n.a.",Maltol -H(+) C6H6O3 C11918 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,170,125.059,Benzyl alcohol +OH(-) C7H8O C00556 HMDB03119,3-Cresol +OH(-) C7H8O C01467 HMDB02048,4-Cresol +OH(-) C7H8O C01468 HMDB01858,o-Cresol +OH(-) C7H8O C01542 HMDB02055,Toluene-cis-dihydrodiol -H(+) C7H10O2 C04592 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,171,125.095,Octanoic acid -H2O-H(+) C8H16O2 C06423 HMDB00482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,172,126.026,p-Benzoquinone [+1]+OH(-) C6H4O2 C00472 HMDB03364,"1,2,3-Trihydroxybenzene [+1]-H(+) C6H6O3 C01108 n.a.",Phloroglucinol [+1]-H(+) C6H6O3 C02183 n.a.,"Benzene-1,2,4-triol [+1]-H(+) C6H6O3 C02814 n.a.",5-Amino-4-imidazole carboxylate -H(+) C4H5N3O2 C05516 n.a.,Maltol [+1]-H(+) C6H6O3 C11918 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
